ingredient,pairings
feta cheese (word emb.),"['goat cheese', 'artichoke', 'capers', 'romano cheese', 'parmesan cheese', 'provolone cheese', 'mozzarella cheese', 'basil', 'blue cheese', 'cheese']"
fig (weighted),"['olive oil', 'olive', 'corn', 'wheat', 'pomegranate', 'pear', 'plum', 'walnut', 'avocado', 'apricot']"
fig (n. moledules),"['tea', 'apple', 'tomato', 'guava', 'mango', 'grape', 'apricot', 'black currant', 'corn', 'orange']"
fig (word emb.),"['bartlett pear', 'quince', 'persimmon', 'currant', 'lavender', 'pomegranate', 'hazelnut', 'kumquat', 'dates', 'angelica']"
fir (weighted),"['valerian', 'asafoetida', 'curry leaf', 'nigella seed', 'caraway', 'myrtle', 'white pepper', 'mace', 'eucalyptus', 'gin']"
fir (n. moledules),"['asafoetida', 'laurel', 'cumin', 'coriander', 'nutmeg', 'carrot', 'rosemary', 'spearmint', 'marjoram', 'saffron']"
fir (word emb.),"['coconut', 'lemon grass', 'star anise', 'honey', 'cocoa', 'apricot', 'fermented tea', 'peanut', 'dates', 'anise']"
fish (weighted),"['shrimp', 'corn oil', 'munster cheese', 'cream cheese', 'camembert cheese', 'swiss cheese', 'oyster', 'romano cheese', 'goat cheese', 'sheep cheese']"
fish (n. moledules),"['tea', 'rice', 'soybean', 'potato', 'mushroom', 'guava', 'tomato', 'beer', 'swiss cheese', 'parmesan cheese']"
fish (word emb.),"['peanut oil', 'lemon grass', 'scallop', 'tamarind', 'jasmine', 'mung bean', 'squid', 'shrimp', 'sake', 'peas']"
fish oil (weighted),"['crab', 'clam', 'milk powder', 'butter', 'mandarin orange zest', 'mate', 'shrimp', 'egg', 'oyster', 'fish']"
fish oil (n. moledules),"['tomato', 'tea', 'peas', 'melon', 'beer', 'gruyere cheese', 'soybean', 'parmesan cheese', 'limburger cheese', 'lima beans']"
fish oil (word emb.),"['pummelo', 'sapodilla', 'wheaten bread', 'bilberry', 'valerian', 'durian', 'japanese whisky', 'munster cheese', 'feijoa', 'fatty fish']"
flaxseed (weighted),"['cassava', 'artichoke', 'sweet potato', 'alfalfa', 'chervil', 'pumpkin', 'dates', 'rye', 'kumquat', 'mung bean']"
flaxseed (n. moledules),"['tea', 'tomato', 'guava', 'soybean', 'apple', 'potato', 'mango', 'chocolate', 'cocoa', 'rice']"
flaxseed (word emb.),"['carob', 'buckwheat', 'milk powder', 'arrowroot', 'oats', 'dates', 'hops', 'brazil nut', 'wheat', 'sunflower']"
garden cress (weighted),"['dates', 'japanese pumpkin', 'alfalfa', 'horseradish', 'mung bean', 'watercress', 'dandelion', 'chard', 'chervil', 'chicory']"
garden cress (n. moledules),"['horseradish', 'cabbage', 'broccoli', 'mustard', 'radish', 'cauliflower', 'garlic', 'guava', 'brussels sprout', 'rutabaga']"
garden cress (word emb.),"['sapodilla', 'bilberry', 'valerian', 'japanese whisky', 'wheaten bread', 'canadian whisky', 'limburger cheese', 'pummelo', 'feijoa', 'munster cheese']"
garlic (weighted),"['dandelion', 'chive', 'rutabaga', 'dates', 'chard', 'kohlrabi', 'horseradish', 'chicory', 'watercress', 'turnip']"
garlic (n. moledules),"['onion', 'chive', 'tea', 'potato', 'tomato', 'leek', 'chocolate', 'peanut butter', 'cocoa', 'peanut']"
garlic (word emb.),"['fennel', 'peas', 'green beans', 'pepper', 'chicken', 'eggplant', 'tomato', 'squid', 'lentils', 'cabbage']"
geranium (weighted),"['citronella', 'white wine', 'lavender', 'nut', 'plum wine', 'rose wine', 'red wine', 'port wine', 'gruyere cheese', 'champagne']"
geranium (n. moledules),"['white wine', 'tea', 'passionfruit', 'mint', 'soybean', 'lemon balm', 'black currant', 'peppermint', 'potato', 'ginger']"
geranium (word emb.),"['chamomile', 'bergamot', 'lemon balm', 'elderberry', 'citrus zest', 'lavender', 'angelica', 'black currant', 'sour cherry', 'green tea']"
gin (weighted),"['cod', 'buttermilk', 'crayfish', 'oyster', 'honey', 'shrimp', 'whisky', 'turkey', 'sake', 'milk powder']"
gin (n. moledules),"['tomato', 'ginger', 'mango', 'tea', 'papaya', 'cardamom', 'fig', 'black currant', 'apricot', 'orange']"
gin (word emb.),"['black tea', 'green tea', 'tea', 'kumquat', 'tangerine', 'citrus', 'rose wine', 'sparkling wine', 'peanut oil', 'spearmint']"
ginger (weighted),"['lime', 'lemon', 'coriander', 'black pepper', 'cardamom', 'dill', 'nutmeg', 'mandarin orange', 'cinnamon', 'fennel']"
ginger (n. moledules),"['black pepper', 'rosemary', 'tea', 'basil', 'oregano', 'orange', 'laurel', 'guava', 'marjoram', 'spearmint']"
ginger (word emb.),"['jasmine', 'cashew nut', 'tamarind', 'soybean', 'lemon grass', 'mung bean', 'star anise', 'lotus', 'peanut oil', 'rice']"
ginkgo nuts (weighted),"['arrowroot', 'borage', 'capers', 'carob', 'japanese persimmon', 'wasabi', 'water chestnut', 'shallot', 'dandelion', 'zucchini']"
ginkgo nuts (n. moledules),"['tea', 'tomato', 'blueberry', 'orange', 'apple', 'mango', 'laurel', 'apricot', 'carrot', 'basil']"
ginkgo nuts (word emb.),"['citrus zest', 'bitter orange', 'cherry brandy', 'chamomile', 'sparkling wine', 'grapefruit zest', 'plum wine', 'whisky', 'kumquat', 'bergamot']"
goat cheese (weighted),"['feta cheese', 'sheep cheese', 'roquefort cheese', 'romano cheese', 'munster cheese', 'mozzarella cheese', 'provolone cheese', 'emmental cheese', 'comte cheese', 'cream cheese']"
goat cheese (n. moledules),"['romano cheese', 'sheep cheese', 'parmesan cheese', 'provolone cheese', 'cheddar cheese', 'blue cheese', 'gruyere cheese', 'camembert cheese', 'cheese', 'limburger cheese']"
goat cheese (word emb.),"['blue cheese', 'feta cheese', 'camembert cheese', 'roquefort cheese', 'tarragon', 'endive', 'romano cheese', 'chervil', 'gruyere cheese', 'truffle']"
goat milk (weighted),"['sheep milk', 'wheaten bread', 'caviar', 'milk fat', 'beef', 'corn oil', 'milk powder', 'swiss cheese', 'mate', 'crayfish']"
goat milk (n. moledules),"['tea', 'mozzarella cheese', 'butter', 'rice', 'sheep milk', 'gruyere cheese', 'coffee', 'raspberry', 'blue cheese', 'rum']"
goat milk (word emb.),"['valerian', 'cloudberry', 'bilberry', 'wheaten bread', 'garden cress', 'sheep milk', 'limburger cheese', 'durian', 'sapodilla', 'pummelo']"
gooseberry (weighted),"['pistachio', 'hazelnut', 'cashew nut', 'brussels sprout', 'zucchini', 'lentils', 'beetroot', 'brazil nut', 'japanese pumpkin', 'chickpea']"
gooseberry (n. moledules),"['apple', 'tomato', 'tea', 'strawberry', 'mango', 'grape', 'pineapple', 'apricot', 'starfruit', 'banana']"
gooseberry (word emb.),"['black currant', 'black raspberry', 'angelica', 'elderberry', 'red raspberry', 'sour cherry', 'cherry brandy', 'rose wine', 'blackberry brandy', 'satsuma orange']"
grape (weighted),"['apple', 'plum', 'olive oil', 'olive', 'apricot', 'pear', 'green beans', 'pineapple', 'mango', 'tomato']"
grape (n. moledules),"['apple', 'tea', 'strawberry', 'guava', 'cocoa', 'chocolate', 'apricot', 'mango', 'passionfruit', 'tomato']"
grape (word emb.),"['endive', 'plum', 'lemon', 'pomegranate', 'lettuce', 'beetroot', 'mandarin orange', 'watercress', 'champagne', 'goat cheese']"
grapefruit (weighted),"['mandarin orange', 'chard', 'rutabaga', 'dates', 'dandelion', 'chicory', 'turnip', 'sweet potato', 'mung bean', 'artichoke']"
grapefruit (n. moledules),"['orange', 'tea', 'apple', 'mango', 'mandarin orange', 'guava', 'ginger', 'grape', 'tomato', 'cardamom']"
grapefruit (word emb.),"['tangerine', 'citrus', 'kumquat', 'melon', 'champagne', 'lemon balm', 'green tea', 'pomegranate', 'papaya', 'watercress']"
grapefruit zest (weighted),"['satsuma orange', 'lean fish', 'fish oil', 'clam', 'black tea', 'oyster', 'lemon zest', 'mate', 'hops', 'chicken']"
grapefruit zest (n. moledules),"['orange', 'black currant', 'lemon', 'mango', 'cherimoya', 'grape', 'cocoa', 'grapefruit', 'guava', 'lime']"
grapefruit zest (word emb.),"['citrus zest', 'tangerine', 'citrus', 'sparkling wine', 'geranium', 'lemon balm', 'kumquat', 'borage', 'cherry brandy', 'prickly pear']"
green beans (weighted),"['beans', 'lima beans', 'peas', 'olive oil', 'tomato', 'cucumber', 'soybean', 'lettuce', 'olive', 'avocado']"
green beans (n. moledules),"['beans', 'lima beans', 'tea', 'tomato', 'soybean', 'cocoa', 'chocolate', 'grape', 'apple', 'mushroom']"
green beans (word emb.),"['lima beans', 'turnip', 'leek', 'broccoli', 'chicken', 'peas', 'parsnip', 'mung bean', 'celery', 'asparagus']"
green tea (weighted),"['pawpaw', 'corn oil', 'black tea', 'citrus', 'plum wine', 'plumcot', 'red wine', 'rose wine', 'champagne', 'strawberry wine']"
green tea (n. moledules),"['tea', 'guava', 'beer', 'asparagus', 'black tea', 'potato', 'rice', 'cocoa', 'chocolate', 'peanut']"
green tea (word emb.),"['black tea', 'chamomile', 'lemon balm', 'kumquat', 'tea', 'tangerine', 'citrus zest', 'citrus', 'melon', 'bergamot']"
gruyere cheese (weighted),"['munster cheese', 'romano cheese', 'emmental cheese', 'roquefort cheese', 'mozzarella cheese', 'cream cheese', 'goat cheese', 'comte cheese', 'sheep cheese', 'camembert cheese']"
gruyere cheese (n. moledules),"['parmesan cheese', 'swiss cheese', 'blue cheese', 'camembert cheese', 'cheddar cheese', 'limburger cheese', 'emmental cheese', 'mozzarella cheese', 'feta cheese', 'romano cheese']"
gruyere cheese (word emb.),"['swiss cheese', 'comte cheese', 'truffle', 'camembert cheese', 'emmental cheese', 'cheese', 'winter savory', 'roquefort cheese', 'tarragon', 'goat cheese']"
guava (weighted),"['tea', 'mango', 'grape', 'papaya', 'apple', 'pineapple', 'ginger', 'rice', 'apricot', 'tomato']"
guava (n. moledules),"['tea', 'apple', 'mango', 'grape', 'tomato', 'papaya', 'chocolate', 'cocoa', 'passionfruit', 'strawberry']"
guava (word emb.),"['kiwifruit', 'prickly pear', 'passionfruit', 'blackberry brandy', 'kumquat', 'papaya', 'cherimoya', 'sparkling wine', 'cherry brandy', 'starfruit']"
ham (weighted),"['macaroni', 'white bread', 'lamb', 'buttermilk', 'turkey', 'beef', 'cheddar cheese', 'kidney beans', 'pork', 'chicken']"
ham (n. moledules),"['chicken', 'lamb', 'blue cheese', 'parmesan cheese', 'cheddar cheese', 'beef', 'rice', 'pork', 'peas', 'cottage cheese']"
ham (word emb.),"['macaroni', 'beef', 'cheddar cheese', 'rye bread', 'turkey', 'cauliflower', 'swiss cheese', 'crab', 'gruyere cheese', 'parmesan cheese']"
hazelnut (weighted),"['pistachio', 'cashew nut', 'brussels sprout', 'zucchini', 'brazil nut', 'japanese pumpkin', 'lentils', 'beetroot', 'mung bean', 'chickpea']"
hazelnut (n. moledules),"['almond', 'cranberry', 'kiwifruit', 'peanut', 'potato', 'peanut butter', 'black currant', 'carrot', 'lettuce', 'apple']"
hazelnut (word emb.),"['pistachio', 'fig', 'brazil nut', 'bartlett pear', 'dates', 'persimmon', 'angelica', 'carob', 'vanilla', 'kumquat']"
honey (weighted),"['butter', 'vinegar', 'yogurt', 'milk', 'whisky', 'turkey', 'cheese', 'egg', 'port wine', 'wine']"
honey (n. moledules),"['apple', 'strawberry', 'pineapple', 'grape', 'papaya', 'cocoa', 'chocolate', 'passionfruit', 'banana', 'white wine']"
honey (word emb.),"['tangerine', 'apricot', 'eucalyptus', 'citrus', 'pomegranate', 'mandarin orange', 'cranberry', 'peach', 'chamomile', 'blackberry']"
hops (weighted),"['sake', 'fish', 'corn oil', 'raspberry brandy', 'brandy', 'cherry brandy', 'cod', 'fish oil', 'plum brandy', 'mandarin orange zest']"
hops (n. moledules),"['blue cheese', 'cheddar cheese', 'gruyere cheese', 'chocolate', 'romano cheese', 'apple', 'camembert cheese', 'feta cheese', 'cocoa', 'swiss cheese']"
hops (word emb.),"['milk powder', 'rye', 'goat milk', 'malt whisky', 'carob', 'milk fat', 'whisky', 'valerian', 'flaxseed', 'plum brandy']"
horseradish (weighted),"['dates', 'dandelion', 'chard', 'garden cress', 'turnip', 'mung bean', 'chicory', 'japanese pumpkin', 'watercress', 'cashew nut']"
horseradish (n. moledules),"['cabbage', 'broccoli', 'mustard', 'garden cress', 'carrot', 'canola oil', 'cauliflower', 'corn', 'wasabi', 'radish']"
horseradish (word emb.),"['dill', 'caviar', 'rye bread', 'crab', 'tarragon', 'blue cheese', 'watercress', 'roquefort cheese', 'chive', 'kohlrabi']"
jackfruit (weighted),"['chervil', 'cassava', 'alfalfa', 'wasabi', 'water chestnut', 'feijoa', 'shiitake', 'pumpkin', 'lentils', 'artichoke']"
jackfruit (n. moledules),"['banana', 'papaya', 'apple', 'tomato', 'rice', 'pineapple', 'mushroom', 'cocoa', 'chocolate', 'cherimoya']"
jackfruit (word emb.),"['pawpaw', 'starfruit', 'cassava', 'kiwifruit', 'passionfruit', 'durian', 'macadamia nut', 'feijoa', 'soursop', 'sapodilla']"
japanese persimmon (weighted),"['carob', 'wasabi', 'lentils', 'water chestnut', 'chickpea', 'borage', 'kelp', 'arrowroot', 'capers', 'burdock']"
japanese persimmon (n. moledules),"['eggplant', 'carrot', 'tea', 'orange', 'peach', 'apricot', 'grape', 'tomato', 'beans', 'macadamia nut']"
japanese persimmon (word emb.),"['wheaten bread', 'valerian', 'bilberry', 'citronella', 'pummelo', 'japanese whisky', 'wholewheat bread', 'sapodilla', 'white currant', 'fatty fish']"
japanese pumpkin (weighted),"['chard', 'turnip', 'dates', 'mung bean', 'pistachio', 'garden cress', 'cashew nut', 'alfalfa', 'watercress', 'dandelion']"
japanese pumpkin (n. moledules),"['green beans', 'carrot', 'broccoli', 'pepper', 'lettuce', 'cucumber', 'dill', 'zucchini', 'potato', 'eggplant']"
japanese pumpkin (word emb.),"['pummelo', 'fatty fish', 'bilberry', 'sapodilla', 'wheaten bread', 'litchi', 'limburger cheese', 'emmental cheese', 'durian', 'japanese whisky']"
japanese whisky (weighted),"['canadian whisky', 'scotch whisky', 'bourbon whisky', 'malt whisky', 'whisky', 'rose wine', 'plum wine', 'port wine', 'champagne', 'plum brandy']"
japanese whisky (n. moledules),"['scotch whisky', 'malt whisky', 'whisky', 'bourbon whisky', 'canadian whisky', 'rum', 'beer', 'sherry', 'white wine', 'cocoa']"
japanese whisky (word emb.),"['bilberry', 'valerian', 'canadian whisky', 'white currant', 'pummelo', 'feijoa', 'soursop', 'wheaten bread', 'litchi', 'wild cherry']"
jasmine (weighted),"['mandarin orange zest', 'bergamot', 'sassafras', 'fish oil', 'citrus', 'myrtle', 'citrus zest', 'milk powder', 'milk', 'peppermint']"
jasmine (n. moledules),"['tea', 'peppermint', 'mango', 'white wine', 'cinnamon', 'basil', 'mandarin orange', 'lemon', 'orange', 'lime']"
jasmine (word emb.),"['lemon grass', 'tamarind', 'mung bean', 'cashew nut', 'peanut oil', 'lotus', 'sesame', 'squid', 'lime zest', 'ginger']"
kelp (weighted),"['water chestnut', 'wasabi', 'borage', 'arrowroot', 'japanese persimmon', 'capers', 'burdock', 'carob', 'rocket salad', 'shallot']"
kelp (n. moledules),"['potato', 'guava', 'tea', 'mushroom', 'melon', 'grape', 'mango', 'tomato', 'banana', 'apple']"
kelp (word emb.),"['lotus', 'burdock', 'bonito', 'soybean', 'sake', 'wasabi', 'mung bean', 'soybean oil', 'oyster', 'sesame']"
kidney beans (weighted),"['cheddar cheese', 'blue cheese', 'swiss cheese', 'white wine', 'parmesan cheese', 'cream cheese', 'milk', 'camembert cheese', 'cottage cheese', 'munster cheese']"
kidney beans (n. moledules),"['lima beans', 'green beans', 'beans', 'tea', 'white wine', 'mushroom', 'beer', 'soybean', 'cocoa', 'chocolate']"
kidney beans (word emb.),"['beans', 'lima beans', 'lentils', 'oregano', 'chickpea', 'beef', 'beer', 'okra', 'turkey', 'tomato']"
kiwifruit (weighted),"['pistachio', 'hazelnut', 'brazil nut', 'cashew nut', 'zucchini', 'lentils', 'brussels sprout', 'chickpea', 'wheat', 'beetroot']"
kiwifruit (n. moledules),"['apple', 'pineapple', 'tea', 'strawberry', 'tomato', 'grape', 'potato', 'orange', 'black currant', 'peach']"
kiwifruit (word emb.),"['passionfruit', 'guava', 'prickly pear', 'starfruit', 'black raspberry', 'pawpaw', 'cherimoya', 'blackberry brandy', 'red raspberry', 'melon']"
kohlrabi (weighted),"['radish', 'rutabaga', 'garlic', 'mung bean', 'brussels sprout', 'watercress', 'mustard', 'japanese pumpkin', 'dates', 'chard']"
kohlrabi (n. moledules),"['tea', 'potato', 'soybean', 'tomato', 'rice', 'papaya', 'peanut', 'asparagus', 'peanut butter', 'chocolate']"
kohlrabi (word emb.),"['dandelion', 'lovage', 'beetroot', 'turnip', 'rutabaga', 'radish', 'sorrel', 'parsnip', 'chervil', 'watercress']"
kumquat (weighted),"['artichoke', 'chervil', 'alfalfa', 'pumpkin', 'cassava', 'rye', 'sweet potato', 'dates', 'flaxseed', 'japanese pumpkin']"
kumquat (n. moledules),"['orange', 'lemon', 'ginger', 'banana', 'guava', 'strawberry', 'tea', 'starfruit', 'mandarin orange', 'apple']"
kumquat (word emb.),"['tangerine', 'citrus', 'sparkling wine', 'green tea', 'cherry brandy', 'black tea', 'prickly pear', 'quince', 'angelica', 'grapefruit']"
lamb (weighted),"['macaroni', 'ham', 'peanut oil', 'hops', 'fish', 'malt whisky', 'chicken', 'whisky', 'scotch whisky', 'cheddar cheese']"
lamb (n. moledules),"['chicken', 'pork', 'cheddar cheese', 'blue cheese', 'tea', 'rice', 'potato', 'parmesan cheese', 'mushroom', 'beer']"
lamb (word emb.),"['lentils', 'chickpea', 'marjoram', 'fenugreek', 'basmati rice', 'coriander', 'fennel', 'summer savory', 'parsnip', 'cardamom']"
laurel (weighted),"['black pepper', 'marjoram', 'rosemary', 'oregano', 'nutmeg', 'cumin', 'fennel', 'thyme', 'sage', 'coriander']"
laurel (n. moledules),"['black pepper', 'basil', 'ginger', 'rosemary', 'oregano', 'marjoram', 'spearmint', 'nutmeg', 'orange', 'dill']"
laurel (word emb.),"['winter savory', 'emmental cheese', 'summer savory', 'red currant', 'port wine', 'comte cheese', 'sparkling wine', 'crayfish', 'brandy', 'black currant']"
lavender (weighted),"['citronella', 'bitter orange', 'eucalyptus', 'myrtle', 'bergamot', 'citrus', 'sassafras', 'citrus zest', 'geranium', 'white wine']"
lavender (n. moledules),"['ginger', 'thyme', 'tea', 'spearmint', 'guava', 'laurel', 'apple', 'marjoram', 'oregano', 'lime']"
lavender (word emb.),"['lemon balm', 'chamomile', 'rose', 'black tea', 'green tea', 'geranium', 'eucalyptus', 'kumquat', 'tea', 'citrus zest']"
lean fish (weighted),"['fatty fish', 'white pepper', 'malt', 'clam', 'truffle', 'kidney beans', 'ricotta cheese', 'milk', 'butter', 'rum']"
lean fish (n. moledules),"['butter', 'tea', 'coffee', 'tomato', 'rum', 'soybean', 'beer', 'papaya', 'mango', 'apple']"
lean fish (word emb.),"['limburger cheese', 'valerian', 'fatty fish', 'wheaten bread', 'sheep cheese', 'munster cheese', 'pummelo', 'bilberry', 'canadian whisky', 'garden cress']"
leek (weighted),"['alfalfa', 'chervil', 'pumpkin', 'artichoke', 'radish', 'mustard', 'shiitake', 'cassava', 'rye', 'prickly pear']"
leek (n. moledules),"['tea', 'rice', 'onion', 'guava', 'soybean', 'potato', 'grape', 'tomato', 'asparagus', 'mushroom']"
leek (word emb.),"['turnip', 'chard', 'parsnip', 'rutabaga', 'oyster', 'green beans', 'truffle', 'shiitake', 'kohlrabi', 'peas']"
lemon (weighted),"['lime', 'mandarin orange', 'black pepper', 'coriander', 'fennel', 'dill', 'parsley', 'ginger', 'celery', 'nutmeg']"
lemon (n. moledules),"['orange', 'mandarin orange', 'lime', 'ginger', 'black pepper', 'tea', 'coriander', 'basil', 'celery', 'rosemary']"
lemon (word emb.),"['caviar', 'sorrel', 'grape', 'chervil', 'lime zest', 'salmon', 'clam', 'white wine', 'tarragon', 'goat cheese']"
lemon balm (weighted),"['basil', 'thyme', 'anise', 'lemon grass', 'mint', 'lovage', 'cumin', 'oregano', 'black raspberry', 'marjoram']"
lemon balm (n. moledules),"['ginger', 'basil', 'oregano', 'black pepper', 'rosemary', 'laurel', 'tea', 'marjoram', 'dill', 'spearmint']"
lemon balm (word emb.),"['lavender', 'chamomile', 'green tea', 'sparkling wine', 'citrus', 'rose wine', 'geranium', 'eucalyptus', 'citrus zest', 'kumquat']"
lemon grass (weighted),"['borage', 'capers', 'arrowroot', 'wasabi', 'water chestnut', 'carob', 'saffron', 'shallot', 'burdock', 'kelp']"
lemon grass (n. moledules),"['lemon', 'tea', 'ginger', 'mandarin orange', 'lime', 'coriander', 'peppermint', 'cardamom', 'orange', 'black pepper']"
lemon grass (word emb.),"['tamarind', 'jasmine', 'lime zest', 'squid', 'papaya', 'star anise', 'lotus', 'peanut oil', 'curry leaf', 'fish']"
lemon zest (weighted),"['basmati rice', 'clam', 'ginger', 'grapefruit zest', 'lamb', 'geranium', 'marjoram', 'guava', 'nutmeg', 'cardamom']"
lemon zest (n. moledules),"['ginger', 'orange', 'mango', 'cardamom', 'thyme', 'tea', 'celery', 'mandarin orange', 'lime', 'nutmeg']"
lemon zest (word emb.),"['sorrel', 'chervil', 'lavender', 'tarragon', 'saffron', 'rose', 'goat cheese', 'capers', 'champagne', 'lemon balm']"
lentils (weighted),"['chickpea', 'pistachio', 'alfalfa', 'cashew nut', 'chervil', 'chestnut', 'japanese persimmon', 'zucchini', 'japanese pumpkin', 'mung bean']"
lentils (n. moledules),"['carrot', 'pistachio', 'peanut butter', 'peanut', 'broccoli', 'tomato', 'black currant', 'cucumber', 'pepper', 'green beans']"
lentils (word emb.),"['chickpea', 'lamb', 'fenugreek', 'parsnip', 'basmati rice', 'turnip', 'cauliflower', 'marjoram', 'kidney beans', 'beans']"
lettuce (weighted),"['cucumber', 'beetroot', 'zucchini', 'wheat', 'pistachio', 'broccoli', 'eggplant', 'cashew nut', 'hazelnut', 'endive']"
lettuce (n. moledules),"['pepper', 'grape', 'tomato', 'potato', 'strawberry', 'green beans', 'tea', 'peach', 'apple', 'cucumber']"
lettuce (word emb.),"['watercress', 'alfalfa', 'radish', 'wasabi', 'grape', 'endive', 'grapefruit', 'cucumber', 'lime', 'avocado']"
licorice (weighted),"['milk powder', 'raisin', 'shrimp', 'milk', 'crab', 'butter', 'cheese', 'coffee', 'beer', 'egg']"
licorice (n. moledules),"['tea', 'beer', 'mushroom', 'coffee', 'cocoa', 'chocolate', 'mango', 'tomato', 'guava', 'potato']"
licorice (word emb.),"['peppermint', 'cherry brandy', 'carob', 'cocoa', 'milk fat', 'red raspberry', 'coffee', 'bergamot', 'sour cherry', 'black raspberry']"
lima beans (weighted),"['beans', 'green beans', 'peas', 'rice', 'soybean', 'shiitake', 'mushroom', 'prickly pear', 'tamarind', 'asparagus']"
lima beans (n. moledules),"['green beans', 'beans', 'tea', 'soybean', 'mushroom', 'cocoa', 'chocolate', 'tomato', 'rice', 'grape']"
lima beans (word emb.),"['turnip', 'green beans', 'celery', 'summer savory', 'kidney beans', 'rutabaga', 'potato', 'marjoram', 'barley', 'beef']"
limburger cheese (weighted),"['emmental cheese', 'cottage cheese', 'mozzarella cheese', 'cream cheese', 'munster cheese', 'comte cheese', 'roquefort cheese', 'provolone cheese', 'romano cheese', 'camembert cheese']"
limburger cheese (n. moledules),"['gruyere cheese', 'camembert cheese', 'blue cheese', 'cheddar cheese', 'swiss cheese', 'parmesan cheese', 'feta cheese', 'mozzarella cheese', 'cottage cheese', 'provolone cheese']"
limburger cheese (word emb.),"['valerian', 'bilberry', 'wheaten bread', 'sheep cheese', 'japanese whisky', 'pummelo', 'sheep milk', 'canadian whisky', 'sapodilla', 'garden cress']"
lime (weighted),"['lemon', 'mandarin orange', 'coriander', 'black pepper', 'fennel', 'sunflower', 'dill', 'ginger', 'tamarind', 'cumin']"
lime (n. moledules),"['lemon', 'orange', 'mandarin orange', 'ginger', 'black pepper', 'oregano', 'basil', 'cardamom', 'coriander', 'rosemary']"
lime (word emb.),"['tamarind', 'mango', 'papaya', 'mung bean', 'jasmine', 'peanut oil', 'lemon grass', 'wasabi', 'lime zest', 'cucumber']"
lime zest (weighted),"['plumcot', 'beef', 'peanut oil', 'citrus zest', 'geranium', 'butter', 'winter savory', 'nutmeg', 'allspice', 'beer']"
lime zest (n. moledules),"['ginger', 'rosemary', 'lime', 'black pepper', 'celery', 'spearmint', 'laurel', 'peppermint', 'nutmeg', 'cumin']"
lime zest (word emb.),"['papaya', 'lemon grass', 'mango', 'tamarind', 'grapefruit', 'jasmine', 'plum wine', 'citrus', 'guava', 'lemon']"
lingonberry (weighted),"['pistachio', 'hazelnut', 'dates', 'almond', 'japanese pumpkin', 'dandelion', 'cottonseed', 'garden cress', 'zucchini', 'rye']"
lingonberry (n. moledules),"['cranberry', 'tea', 'tomato', 'black currant', 'bilberry', 'mango', 'apple', 'strawberry', 'grape', 'apricot']"
lingonberry (word emb.),"['black currant', 'black raspberry', 'satsuma orange', 'red currant', 'blackberry brandy', 'red raspberry', 'apple brandy', 'whisky', 'loganberry', 'scotch whisky']"
litchi (weighted),"['artichoke', 'alfalfa', 'chervil', 'pumpkin', 'sweet potato', 'kumquat', 'rye', 'cassava', 'spinach', 'dates']"
litchi (n. moledules),"['tea', 'guava', 'black currant', 'starfruit', 'tomato', 'grape', 'papaya', 'mango', 'plum', 'apricot']"
litchi (word emb.),"['soursop', 'feijoa', 'japanese whisky', 'malt whisky', 'cherimoya', 'satsuma orange', 'pummelo', 'white currant', 'canadian whisky', 'valerian']"
loganberry (weighted),"['chervil', 'alfalfa', 'cassava', 'artichoke', 'pumpkin', 'lentils', 'dates', 'rye', 'japanese pumpkin', 'mung bean']"
loganberry (n. moledules),"['tea', 'raspberry', 'orange', 'apple', 'mango', 'grape', 'papaya', 'potato', 'guava', 'strawberry']"
loganberry (word emb.),"['black raspberry', 'blackberry brandy', 'elderberry', 'cherimoya', 'red raspberry', 'canadian whisky', 'cloudberry', 'white currant', 'japanese whisky', 'loquat']"
loquat (weighted),"['endive', 'radish', 'sweet potato', 'watercress', 'mung bean', 'avocado', 'pear', 'artichoke', 'dandelion', 'dates']"
loquat (n. moledules),"['tea', 'apple', 'guava', 'mango', 'papaya', 'strawberry', 'apricot', 'tomato', 'starfruit', 'passionfruit']"
loquat (word emb.),"['cherimoya', 'litchi', 'malt whisky', 'plum brandy', 'loganberry', 'soursop', 'elderberry', 'white currant', 'pummelo', 'feijoa']"
lotus (weighted),"['borage', 'capers', 'ginkgo nuts', 'arrowroot', 'water chestnut', 'wasabi', 'carob', 'kelp', 'shallot', 'japanese persimmon']"
lotus (n. moledules),"['mango', 'tea', 'ginger', 'coriander', 'melon', 'papaya', 'tomato', 'rice', 'lemon balm', 'guava']"
lotus (word emb.),"['burdock', 'kelp', 'bonito', 'sake', 'soybean', 'plum wine', 'mung bean', 'wasabi', 'oyster', 'sesame']"
lovage (weighted),"['thyme', 'cumin', 'turmeric', 'star anise', 'coriander', 'marjoram', 'winter savory', 'sage', 'mint', 'summer savory']"
lovage (n. moledules),"['celery', 'laurel', 'dill', 'coriander', 'ginger', 'spearmint', 'rosemary', 'black pepper', 'basil', 'tea']"
lovage (word emb.),"['dandelion', 'chervil', 'kohlrabi', 'sorrel', 'beetroot', 'summer savory', 'chicory', 'borage', 'endive', 'marjoram']"
macadamia nut (weighted),"['pistachio', 'brussels sprout', 'hazelnut', 'wheat', 'cashew nut', 'cauliflower', 'sapodilla', 'sweet potato', 'zucchini', 'lentils']"
macadamia nut (n. moledules),"['tea', 'potato', 'peas', 'peanut', 'mango', 'peanut butter', 'green beans', 'pecan', 'beans', 'tomato']"
